,imgep_1_mean,imgep_1_inf,imgep_1_sup,imgep_1_iterations,imgep_2_mean,imgep_2_inf,imgep_2_sup,imgep_2_iterations,imgep_3_mean,imgep_3_inf,imgep_3_sup,imgep_3_iterations,operators_1_mean,operators_1_inf,operators_1_sup,operators_1_iterations,operators_2_mean,operators_2_inf,operators_2_sup,operators_2_iterations,operators_3_mean,operators_3_inf,operators_3_sup,operators_3_iterations,rand_1_mean,rand_1_inf,rand_1_sup,rand_1_iterations
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,48.46734693877551,48.11280822988974,48.82188564766129,1000,48.53707414829659,48.195570642365695,48.878577654227485,1000,48.565130260521045,48.21455422917715,48.915706291864936,1000,48.46370967741935,48.117995874060426,48.80942348077828,1000,48.532128514056225,48.19115915969654,48.87309786841591,1000,48.578,48.22096256503848,48.93503743496153,1000,48.43340380549683,48.03647158597795,48.83033602501571,1000
2,166.6795918367347,165.57974860053793,167.77943507293145,2000,248.33466933867734,246.98534075843156,249.68399791892313,2000,270.10420841683367,268.671641906437,271.53677492723034,2000,73.88306451612904,73.43873316303853,74.32739586921954,2000,111.87550200803213,111.32537907378345,112.4256249422808,2000,118.728,118.12882001537449,119.3271799846255,2000,73.18181818181819,72.6702270811167,73.69340928251967,2000
3,253.52448979591836,252.07725898383427,254.97172060800244,3000,394.20841683366734,392.3568140773348,396.0600195899999,3000,431.92985971943887,429.87018317214057,433.98953626673716,3000,93.35282258064517,92.84349295519144,93.8621522060989,3000,159.61847389558233,158.93388903390695,160.3030587572577,3000,168.018,167.29982899734213,168.73617100265787,3000,92.07822410147992,91.48347732269679,92.67297088026305,3000
4,326.51836734693876,324.74427762709126,328.29245706678626,4000,519.8236472945891,517.5426018063807,522.1046927827975,4000,569.5090180360721,566.891002939197,572.1270331329472,4000,109.97983870967742,109.39261151790498,110.56706590144987,4000,199.94578313253012,199.16408466761828,200.72748159744197,4000,208.242,207.40132632600674,209.08267367399324,4000,107.97885835095137,107.31465123095946,108.64306547094328,4000
5,392.35102040816327,390.2832058806364,394.41883493569014,5000,632.7715430861723,630.079568647052,635.4635175252926,5000,691.9258517034068,688.8415992620456,695.010104144768,5000,124.82459677419355,124.19643473711518,125.45275881127192,5000,235.87951807228916,234.96731757650002,236.7917185680783,5000,244.31,243.37597445054791,245.2440255494521,5000,122.21141649048626,121.47466898308204,122.94816399789048,5000
6,454.02244897959184,451.71538338185167,456.329514577332,6000,735.8897795591182,732.7955503075573,738.9840088106791,6000,802.7935871743487,799.356779560698,806.2303947879993,6000,138.39314516129033,137.7420306839258,139.04425963865486,6000,268.85140562248995,267.8613482719663,269.8414629730136,6000,276.96,275.9300212951373,277.98997870486266,6000,135.25158562367864,134.46337761218257,136.0397936351747,6000
7,511.6020408163265,509.0310698171338,514.1730118155192,7000,832.8677354709419,829.4963148223782,836.2391561195055,7000,905.9519038076153,902.1283402852322,909.7754673299984,7000,151.05443548387098,150.36769383694238,151.74117713079957,7000,299.5983935742972,298.57591570105984,300.6208714475345,7000,307.882,306.80963643297133,308.9543635670287,7000,146.97463002114165,146.14814088524716,147.80111915703614,7000
8,566.5122448979591,563.7058850083797,569.3186047875386,8000,923.2004008016032,919.4937373963318,926.9070642068747,8000,1002.6793587174349,998.5427550786538,1006.8159623562159,8000,163.06048387096774,162.33458692210183,163.78638081983365,8000,328.98192771084337,327.88627017180966,330.0775852498771,8000,336.744,335.59942061101793,337.8885793889821,8000,158.24524312896406,157.37754925363112,159.112937004297,8000
9,619.7673469387755,616.7531688316465,622.7815250459046,9000,1009.2585170340682,1005.2568468654464,1013.26018720269,9000,1094.8697394789579,1090.4566829509552,1099.2827960069606,9000,174.2258064516129,173.46957625020465,174.98203665302114,9000,356.56224899598396,355.41457236428744,357.7099256276805,9000,364.264,363.06198024080214,365.4660197591979,9000,169.00422832980973,168.10017838575635,169.90827827386312,9000
10,670.6265306122449,667.3940343479959,673.8590268764939,10000,1091.625250501002,1087.3370463572264,1095.9134546447776,10000,1182.1723446893789,1177.4532269944762,1186.8914623842816,10000,185.04435483870967,184.2597807769238,185.82892890049553,10000,382.6586345381526,381.437139495346,383.88012958095925,10000,390.34,389.1157696774087,391.56423032259124,10000,179.47568710359408,178.525472393612,180.42590181357616,10000
