,imgep_1_mean,imgep_1_inf,imgep_1_sup,imgep_1_iterations,imgep_2_mean,imgep_2_inf,imgep_2_sup,imgep_2_iterations,imgep_3_mean,imgep_3_inf,imgep_3_sup,imgep_3_iterations,operators_1_mean,operators_1_inf,operators_1_sup,operators_1_iterations,operators_2_mean,operators_2_inf,operators_2_sup,operators_2_iterations,operators_3_mean,operators_3_inf,operators_3_sup,operators_3_iterations,rand_1_mean,rand_1_inf,rand_1_sup,rand_1_iterations
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1,321.1551020408163,320.27272931238974,322.03747476924286,1000,321.15430861723445,320.2740386780409,322.034578556428,1000,320.76553106212424,319.89512093873964,321.63594118550884,1000,321.2459677419355,320.3680422817764,322.12389320209456,1000,321.27510040160644,320.3952486225919,322.15495218062097,1000,320.202,319.342613273534,321.06138672646597,1000,319.10359408033827,317.70841273483967,320.49877542583687,1000
2,798.7469387755102,796.2368860641939,801.2569914868266,2000,857.3386773547094,855.6924973475633,858.9848573618555,2000,861.9599198396794,860.3891347727382,863.5307049066206,2000,506.14112903225805,504.8876821348151,507.394575929701,2000,649.3413654618474,647.9757024974201,650.7070284262747,2000,672.776,671.3861905841907,674.1658094158092,2000,498.830866807611,496.73654856718764,500.9251850480344,2000
3,1220.9469387755103,1217.1106905881422,1224.7831869628783,3000,1288.3527054108217,1285.9866238657874,1290.718786955856,3000,1279.1282565130261,1276.8552177814456,1281.4012952446067,3000,664.8326612903226,663.3474607149977,666.3178618656474,3000,940.5100401606426,938.8103278919432,942.209752429342,3000,970.578,968.8252476437164,972.3307523562836,3000,652.1247357293869,649.4772998122254,654.7721716465484,3000
4,1592.238775510204,1587.3495134677692,1597.128037552639,4000,1649.6352705410823,1646.6711515495792,1652.5993895325853,4000,1620.745490981964,1617.785827008349,1623.7051549555788,4000,806.296370967742,804.6236460660871,807.9690958693968,4000,1199.64859437751,1197.6642964135933,1201.632892341427,4000,1231.304,1229.3369074922937,1233.2710925077065,4000,788.6088794926004,785.4878821951128,791.729876790088,4000
5,1923.9142857142858,1918.1207718434669,1929.7077995851048,5000,1963.5931863727455,1960.1047800426788,1967.0815927028123,5000,1912.5190380761524,1909.0288244243136,1916.009251727991,5000,936.1068548387096,934.2045984122973,938.009111265122,5000,1431.5301204819277,1429.409124762139,1433.6511162017164,5000,1464.07,1461.894110106939,1466.2458898930608,5000,914.0401691331924,910.4855841083382,917.5947541580466,5000
6,2227.0061224489796,2220.4795059424523,2233.532738955507,6000,2242.128256513026,2238.1395268098718,2246.11698621618,6000,2171.0761523046094,2167.039957984015,2175.112346625204,6000,1055.719758064516,1053.74281106942,1057.6967050596122,6000,1642.5863453815261,1640.3207198431178,1644.8519709199345,6000,1675.116,1672.8012980851622,1677.4307019148378,6000,1029.5602536997885,1025.614604249905,1033.5059031496721,6000
7,2505.54693877551,2498.304765958916,2512.7891115921043,7000,2495.7254509018035,2491.2533155867723,2500.1975862168347,7000,2402.8336673346694,2398.2884240458734,2407.3789106234653,7000,1167.5725806451612,1165.4645646792499,1169.6805966110726,7000,1837.062248995984,1834.6626040836447,1839.4618939083232,7000,1868.612,1866.1258573940443,1871.098142605956,7000,1137.4059196617336,1133.0703462937388,1141.7414930297284,7000
8,2765.3551020408163,2757.4437329384414,2773.266471143191,8000,2727.4248496993987,2722.557057464462,2732.2926419343353,8000,2615.2304609218436,2610.293414078371,2620.1675077653163,8000,1272.0443548387098,1269.832771502458,1274.2559381749616,8000,2017.5863453815261,2015.0255067385594,2020.1471840244928,8000,2047.956,2045.293028285554,2050.6189717144457,8000,1238.367864693446,1233.679826228069,1243.0559031588232,8000
9,3007.9510204081635,2999.436319062932,3016.465721753395,9000,2943.228456913828,2937.929954080425,2948.5269597472306,9000,2811.2605210420843,2805.897761436052,2816.6232806481166,9000,1370.336693548387,1368.023037181143,1372.650349915631,9000,2185.8995983935743,2183.2168311104665,2188.582365676682,9000,2215.534,2212.80773846804,2218.26026153196,9000,1332.8646934460887,1327.8624266137563,1337.8669602784212,9000
10,3237.216326530612,3228.206796971429,3246.2258560897953,10000,3144.374749498998,3138.7546638402673,3149.9948351577286,10000,2994.228456913828,2988.5023663476513,2999.9545474800043,10000,1463.6068548387098,1461.1426065598916,1466.0711031175279,10000,2344.397590361446,2341.6350898425217,2347.1600908803703,10000,2373.046,2370.22284576995,2375.86915423005,10000,1422.6553911205074,1417.336239201225,1427.9745430397898,10000
